ID,Source,Default branch,XML launch files,Py launch files,Language,Issues (total),Open issues,Closed issues,PR (total),Open PRs,Closed PRs,Commits,Branches,Releases,Contributors,Description,URL,Categorized by,Batch,Included,Violated criterion,Scope,System type 1,System type 2,System type 3,Capability 1,Capability 2,Capability 3,SA documented,SA documentation,Notes
dmweis/Hopper_ROS,github,master,27,0,Python,0,0,0,3,0,3,813,8,0,2,ROS stack for a Hexapod robot,https://github.com/dmweis/Hopper_ROS,Bradley,1,NO,E3,,,,,,,,,,
doosan-robotics/doosan-robot,github,master,136,0,C++,9,0,9,6,0,6,147,4,6,5,ROS for Doosan Robot,https://github.com/doosan-robotics/doosan-robot,Bradley,1,YES,,FULL_SYSTEM,Manu,,,FULL,,,NO,,
DrawZeroPoint/drv_package_v2,github,master,9,0,C++,0,0,0,1,0,1,233,3,3,3,Robot Vision System based on ROS and Deep Learning technology,https://github.com/DrawZeroPoint/drv_package_v2,Bradley,1,YES,,SUBSYSTEM,Humanoid ,,,Sensing,,,NO,,"Humanoid, but only head"
duckietown/Software,github,master19,288,0,Python,75,19,56,358,2,356,5945,483,26,161,"This repository contains all the software that runs on the Duckiebot, as well as support files (e.g. maps), plus hardware schematics.",https://github.com/duckietown/Software,Bradley,1,YES,,FULL_SYSTEM,Ground,,,FULL,,,YES,https://docs.duckietown.org/DT18/software_devel/out/autoid_DO_NOT_USE_THIS_VERY_UNSTABLE_LINK_5f3ae1fc_109.html,
dusong7/Python_Exc_Ros_C,github,master,1,0,Python,0,0,0,0,0,0,166,2,0,1,,https://github.com/dusong7/Python_Exc_Ros_C,Bradley,1,NO,E8,,,,,,,,,,
dxydas/ros-bioloid,github,master,37,0,C++,2,0,2,1,0,1,117,3,0,3,Code and config files for a customised Bioloid robot based on the ROS platform.,https://github.com/dxydas/ros-bioloid,Bradley,1,YES,,FULL_SYSTEM,Ground,,,FULL,,,YES,https://dxydas.com/category/robotics/bioloid-project/,
dynMapMaster/mir_layered_costmap,github,master,14,0,C++,0,0,0,0,0,0,160,9,0,5,Port of the costmap_2d package from the navigation stack in ROS Indigo.,https://github.com/dynMapMaster/mir_layered_costmap,Bradley,1,YES,,SUBSYSTEM,GEN,,,Navigation,,,NO,,A port of the navigation subsystem for MIR robots
eborghi10/my_ROS_mobile_robot,github,master,8,0,C++,3,2,1,1,0,1,128,4,0,2,Differential drive mobile robot using ROS.,https://github.com/eborghi10/my_ROS_mobile_robot,Bradley,1,YES,,FULL_SYSTEM,Ground,,,FULL,,,NO,,
edinferno/edinferno,github,dev,5,0,C++,32,17,15,84,0,84,468,17,1,12,Rewrite of Edinferno's codebase using ROS,https://github.com/edinferno/edinferno,Bradley,1,YES,,FULL_SYSTEM,Humanoid ,,,FULL,,,PARTIALLY,https://www.semanticscholar.org/paper/Team-Edinferno-Description-Paper-for-RoboCup-2011-Ramamoorthy-Valtazanos/f4c0e8c33f8934f555972371267d1f8ad9392b16,
ekumenlabs/tangobot,github,master,2,0,Java,81,38,43,49,0,49,157,4,3,3,Android app to navigate using Tango services as input.,https://github.com/ekumenlabs/tangobot,Bradley,1,YES,,SUBSYSTEM,Ground,,,Integration,,,NO,,
ElCarl/pegasus2,github,master,25,0,C++,1,1,0,1,0,1,207,9,0,6,,https://github.com/ElCarl/pegasus2,Bradley,1,NO,E1,,,,,,,,,,
elggem/ros_people_model,github,master,3,0,Python,0,0,0,6,0,6,157,2,5,4,ROS package for visual perception of people and associated attributes.,https://github.com/elggem/ros_people_model,Bradley,1,YES,,SUBSYSTEM,GEN,,,Vision,,,YES,https://github.com/elggem/ros_people_model,DNN implementation for emotion recognition for social robots
elggem/tensorflow_node,github,master,2,0,Python,1,0,1,6,0,6,169,4,1,2,Tensorflow based ROS node for evaluating deep learning algorithms.,https://github.com/elggem/tensorflow_node,Bradley,1,YES,,SUBSYSTEM,GEN,,,Infrastructural,,,NO,,Integrates with TensorFlow for help with the above repo
Ellon/rtslamros,github,master,2,0,C++,2,2,0,3,2,1,122,4,0,3,ROS node to use with RT-SLAM,https://github.com/Ellon/rtslamros,Bradley,1,NO,E3,,,,,,,,,,
elpimous/Neo_robot,github,master,176,0,C++,0,0,0,0,0,0,135,2,0,3,"ros nodes for QBO robot, from THE CORPORA firm",https://github.com/elpimous/Neo_robot,Bradley,1,YES,,FULL_SYSTEM,Service,,,FULL,,,NO,,
EndPointCorp/lg_ros_nodes,github,master,63,0,Python,240,42,198,158,4,154,2494,165,272,27,A ROS software stack for running Liquid Galaxy applications,https://github.com/EndPointCorp/lg_ros_nodes,Bradley,1,YES,,FULL_SYSTEM,Other,,,FULL,,,NO,,It is coordinating liquid galaxy screens for immersive content
enesdemirag/point-cloud-filters,github,simpcl,9,0,C++,1,0,1,0,0,0,196,3,0,3,3D Point Cloud Filtering and Mapping using Stereo Camera,https://github.com/enesdemirag/point-cloud-filters,Bradley,1,YES,,SUBSYSTEM,GEN,,,Sensing,,,NO,,
epfl-lasa/ridgeback_ur5_controller,github,devel,8,0,C++,3,1,2,1,0,1,151,5,0,11,Several controllers to move Ridgeback mobile-robot and UR5 robotic-arm.,https://github.com/epfl-lasa/ridgeback_ur5_controller,Bradley,1,YES,,SUBSYSTEM,GEN,,,Control,,,PARTIALLY,https://github.com/epfl-lasa/ridgeback_ur5_controller,
ericlavigne/CarND-Capstone-Wolf-Pack,github,master,22,0,Python,35,22,13,39,1,38,221,36,0,15,"ROS-based code to control a real self-driving car. Final project for ""Wolf Pack"" team in Udacity's Self-Driving Car Engineer Nanodegree.",https://github.com/ericlavigne/CarND-Capstone-Wolf-Pack,Bradley,1,NO,E1,,,,,,,,,,"This is a capstone project for a simulation of an autonomous vehicle. Looks pretty comprehensive, but could be rejected for E1"
erlerobot/robot_blockly,github,master,1,0,JavaScript,13,6,7,28,0,28,240,6,0,18, A simple way to program ROS robots  using blockly.,https://github.com/erlerobot/robot_blockly,Bradley,1,NO,E8,,,,,,,,,,
ethz-asl/asctec_mav_framework,github,master,1,0,C,55,15,40,24,2,22,269,8,5,19,Framework for data aquisition and position control to be used with the highlevel processor of Ascending Technologies helicopters ,https://github.com/ethz-asl/asctec_mav_framework,Bradley,1,YES,,SUBSYSTEM,Aerial,,,Control,Sensing,,NO,,Part of http://wiki.ros.org/asctec_mav_framework
ethz-asl/cuckoo_time_translator,github,master,2,0,C++,15,3,12,40,0,40,138,4,0,8,algorithms for synchronizing clocks ,https://github.com/ethz-asl/cuckoo_time_translator,Bradley,1,YES,,SUBSYSTEM,Aerial,,,Infrastructural,,,NO,,Part of http://wiki.ros.org/asctec_mav_framework
ethz-asl/ethz_piksi_ros,github,master,9,0,Python,32,8,24,50,2,48,486,10,22,17,ROS drivers for the Piksi RTK GPS module,https://github.com/ethz-asl/ethz_piksi_ros,Bradley,1,NO,E7,,,,,,,,,,Part of http://wiki.ros.org/asctec_mav_framework
ethz-asl/ethzasl_ptam,github,master,2,0,C++,90,46,44,19,4,15,134,9,2,15,Modified version of Parallel Tracking and Mapping (PTAM),https://github.com/ethz-asl/ethzasl_ptam,Bradley,1,YES,,SUBSYSTEM,Aerial,,,Vision,Mapping,,NO,,Part of http://wiki.ros.org/asctec_mav_framework
ethz-asl/ethzasl_xsens_driver,github,master,1,0,Python,64,20,44,36,7,29,185,10,10,21,Driver for xsens IMUs,https://github.com/ethz-asl/ethzasl_xsens_driver,Bradley,1,NO,E7,,,,,,,,,,Part of http://wiki.ros.org/asctec_mav_framework
ethz-asl/mav_rtk_gps,github,master,4,0,Python,11,0,11,44,0,44,413,2,6,12,ROS drivers for the Piksi Real Time Kinematic (RTK) GPS,https://github.com/ethz-asl/mav_rtk_gps,Bradley,1,NO,E7,,,,,,,,,,Part of http://wiki.ros.org/asctec_mav_framework
ethz-asl/ros_vrpn_client,github,master,3,0,C++,18,3,15,39,3,36,169,8,0,14,Ros interface for http://www.cs.unc.edu/Research/vrpn/,https://github.com/ethz-asl/ros_vrpn_client,Bradley,1,NO,E7,,,,,,,,,,Part of http://wiki.ros.org/asctec_mav_framework
evocortex/optris_drivers,github,master,1,0,C++,12,1,11,15,2,13,117,5,0,13,ROS drivers for Optris thermal imagers,https://github.com/evocortex/optris_drivers,Bradley,1,YES,,SUBSYSTEM,GEN,,,Sensing,,,NO,,
Ewenwan/Ros,github,master,120,0,Makefile,0,0,0,0,0,0,212,2,0,2,机器人操作系统ROS  语音视觉控制 雷达建图导航,https://github.com/Ewenwan/Ros,Bradley,1,NO,E4,,,,,,,,,,
FedericoPecora/coordination_oru_ros,github,master,25,0,Java,2,1,1,6,0,6,195,4,10,11,Multi-robot coordination package based on coordination_oru with ROS support,https://github.com/FedericoPecora/coordination_oru_ros,Bradley,1,YES,,SUBSYSTEM,GEN,,,Navigation,,,NO,,About coordinating multiple robots
felix-kolbe/uashh-rvl-ros-pkg,github,master,41,0,Python,0,0,0,1,1,0,253,2,0,2,University of Applied Sciences Hamburg Robot Vision Lab ROS Repository,https://github.com/felix-kolbe/uashh-rvl-ros-pkg,Bradley,1,YES,,SUBSYSTEM,GEN,,,Sensing,Control,Navigation,NO,,Looks like a collection of repositories for a research lab -- perhaps not one system?
felixendres/rgbdslam_v2,github,kinetic,8,0,C++,104,57,47,12,1,11,235,9,1,9,RGB-D SLAM for ROS,https://github.com/felixendres/rgbdslam_v2,Bradley,1,YES,,SUBSYSTEM,GEN,,,Slam,,,NO,,See e.g. Section 3.1 of the thesis
fetchrobotics/fetch_robots,github,melodic-devel,22,0,Python,6,2,4,38,2,36,137,5,18,15,Bringup for fetch & freight,https://github.com/fetchrobotics/fetch_robots,Bradley,1,YES,,SUBSYSTEM,Manu,Service,,DevSupport,,,NO,,Seems to just be files to launch these fet robots
fetchrobotics/fetch_ros,github,melodic-devel,40,0,C++,31,9,22,88,1,87,276,3,42,30,Open ROS Components for Robots from Fetch Robotics,https://github.com/fetchrobotics/fetch_ros,Bradley,1,YES,,FULL_SYSTEM,Manu,Service,,FULL,,,NO,,"Merge with above. A collection of ""Open components for Fetch robots"". May be missing proprietary components."
fkanehiro/openhrp3,github,master,2,0,C++,30,8,22,113,5,108,3227,6,7,34,Open Architecture Human-centered Robotics Platform,https://github.com/fkanehiro/openhrp3,Bradley,1,NO,E8,,,,,,,,,,
fkie/iop_core,github,master,1,0,Java,2,1,1,0,0,0,190,5,2,3,The packages required by all other IOP ROS packages,https://github.com/fkie/iop_core,Ivano,2,YES,,SUBSYSTEM,GEN,,,Integration,,,PARTIALLY,https://github.com/fkie/iop_core/blob/master/doc/how_it_works.md,
fkie/multimaster_fkie,github,master,19,0,Python,77,3,74,28,0,28,1613,13,62,25,"ROS stack with FKIE packages for multi-robot (discovering, synchronizing and management GUI)",https://github.com/fkie/multimaster_fkie,Ivano,2,YES,,SUBSYSTEM,GEN,,,Integration,DevSupport,,PARTIALLY,http://wiki.ros.org/multimaster_fkie,
FlexBE/flexbe_app,github,master,3,0,JavaScript,29,8,21,8,1,7,103,7,14,5,User interface (editor + runtime control) for the FlexBE behavior engine.,https://github.com/FlexBE/flexbe_app,Ivano,2,NO,E8,,,,,,,,,,
florisvb/multi_tracker,github,master,3,0,Python,4,1,3,2,0,2,384,3,0,12,Multiple object tracking for single camera in ROS.,https://github.com/florisvb/multi_tracker,Ivano,2,YES,,SUBSYSTEM,GEN,,,Vision,,,YES,http://florisvb.github.io/multi_tracker/,
Flos/ros-image_cloud,github,master,7,0,C++,1,1,0,0,0,0,221,2,0,2,"ROS package for Sensor fusion between lidar (PointClouds, PCL) and Image sensors.",https://github.com/Flos/ros-image_cloud,Ivano,2,YES,,SUBSYSTEM,GEN,,,Sensing,,,NO,,
flytbase/flytsamples,github,master,2,0,CSS,5,1,4,11,0,11,242,2,0,13,Sample Apps for FlytOS,https://github.com/flytbase/flytsamples,Ivano,2,NO,E4,,,,,,,,,,
frankaemika/franka_ros,github,kinetic-devel,14,0,C++,59,23,36,10,1,9,718,6,11,13,ROS integration for Franka Emika research robots,https://github.com/frankaemika/franka_ros,Ivano,2,YES,,FULL_SYSTEM,Manu,,,FULL,,,YES,https://frankaemika.github.io/docs/franka_ros.html,
fzi-forschungszentrum-informatik/schunk_svh_driver,github,master,3,0,CMake,5,3,2,2,1,1,287,2,10,11,Driver package for the SCHUNK SVH Five-Finger-Hand.,https://github.com/fzi-forschungszentrum-informatik/schunk_svh_driver,Ivano,2,NO,E7,,,,,,,,,,
g/grizzly,github,kinetic-devel,8,0,CMake,3,1,2,19,1,18,278,12,13,17,Lightweight Grizzly packages common to robot and desktop,https://github.com/g/grizzly,Ivano,2,YES,,SUBSYSTEM,Ground,,,Navigation,Control,,NO,,Clearpath Grizzly
geduino-foundation/geduino-ros,github,master-kinetic,9,0,C++,0,0,0,0,0,0,214,4,0,3,The Geduino ROS package,https://github.com/geduino-foundation/geduino-ros,Ivano,2,NO,E4,,,,,,,,,,
GigaFlopsis/rc_car_ros,github,swarm-control,20,0,Python,1,1,0,0,0,0,146,3,0,6,ROS package to control an autonomous RC vehicle based on Raspberry Pi3,https://github.com/GigaFlopsis/rc_car_ros,Ivano,2,YES,,FULL_SYSTEM,Ground,,,FULL,,,NO,,
googlecartographer/cartographer_ros,github,master,19,0,C++,689,235,454,621,6,615,551,5,4,36,Provides ROS integration for Cartographer.,https://github.com/googlecartographer/cartographer_ros,Ivano,1,YES,,SUBSYSTEM,Ground,,,Slam,,,YES,https://google-cartographer-ros.readthedocs.io/en/latest/ros_api.html,
grassjelly/onine,github,master,32,0,C++,0,0,0,0,0,0,141,3,0,2,ROS based service robot,https://github.com/grassjelly/onine,Ivano,2,YES,,FULL_SYSTEM,Service,Manu,,FULL,,,NO,,
gribot-robotics/gribot_ros,github,master,5,0,CMake,5,1,4,20,0,20,102,4,0,2,Ros configuration files,https://github.com/gribot-robotics/gribot_ros,Ivano,2,YES,,FULL_SYSTEM,Ground,,,FULL,,,NO,,
grvcTeam/grvc-ual,github,master,6,0,C++,52,9,43,5,0,5,272,21,12,9,An abstraction layer for unmanned aerial vehicles,https://github.com/grvcTeam/grvc-ual,Ivano,1,YES,,SUBSYSTEM,Aerial,,,Navigation,,,YES,https://github.com/grvcTeam/grvc-ual/wiki/UAL-interfaces,
GT-RAIL/rail_object_detection,github,indigo-devel,3,0,C,4,0,4,6,0,6,100,6,6,7,Deep Nets for object detection wrapped in ROS,https://github.com/GT-RAIL/rail_object_detection,Ivano,1,NO,E9,,,,,,,,,,
gtagency/buzzmobile,github,master,22,0,Python,139,56,83,74,4,70,854,19,0,18,An autonomous parade float/vehicle,https://github.com/gtagency/buzzmobile,Ivano,1,YES,,FULL_SYSTEM,Selfdriving_car,,,FULL,,,YES,https://github.com/gtagency/buzzmobile,Parade of autonomous cars
guiche/rosebot_description,bitbucket,master,7,0,python,0,0,0,0,0,0,475,6,NA,10,ROS package for rosebot,https://bitbucket.org/guiche/rosebot_description,Ivano,1,YES,,SUBSYSTEM,Ground,,,Navigation,,,NO,,Robot: http://www.rosebotics.org/platform
Hacks4ROS/h4r_ev3_ctrl,github,develop,7,0,C++,17,11,6,1,0,1,209,4,1,2,ROS Node for managing EV3 with ROS Control,https://github.com/Hacks4ROS/h4r_ev3_ctrl,Ivano,1,YES,,SUBSYSTEM,Ground,,,Control,,,PARTIALLY,http://hacks4ros.github.io/h4r_ev3_ctrl/,Robot: Lego Mindstorms EV3
hans-robot/elfin_robot,github,kinetic-devel,93,0,C++,15,1,14,2,0,2,128,4,0,4,ROS meta-package for Elfin robot,https://github.com/hans-robot/elfin_robot,Ivano,1,YES,,FULL_SYSTEM,Manu,,,FULL,,,PARTIALLY,https://github.com/hans-robot/elfin_robot/blob/kinetic-devel/docs/API_description_english.md,
hansonrobotics/blender_api_msgs,github,master,1,0,Python,2,0,2,18,0,18,140,4,6,18,ROS messages for the Humanoid Robot blender animation controller,https://github.com/hansonrobotics/blender_api_msgs,Ivano,1,NO,E8,,,,,,,,,,
hasauino/rrt_exploration,github,master,3,0,C++,5,0,5,1,1,0,186,4,0,3,A ROS package that implements a multi-robot RRT-based map exploration algorithm. It also has the image-based frontier detection that uses image processing to extract frontier points.,https://github.com/hasauino/rrt_exploration,Ivano,1,YES,,SUBSYSTEM,Ground,,,Slam,,,YES,https://github.com/hasauino/rrt_exploration,
hb0702/Didi_challenge_2017_Python,github,master,3,0,Jupyter Notebook,0,0,0,3,0,3,224,18,0,8,Goal of project was to detect vehicles and pedestrians using Lidar points in real time.,https://github.com/hb0702/Didi_challenge_2017_Python,Ivano,1,NO,E1,,,,,,,,,,
hbrobotics/ros_arduino_bridge,github,indigo-devel,1,0,Python,41,17,24,19,4,15,111,7,2,13,ROS + Arduino = Robot,https://github.com/hbrobotics/ros_arduino_bridge,Ivano,1,NO,E7,,,,,,,,,,
hcrlab/code_it,github,indigo-devel,4,0,JavaScript,16,2,14,14,0,14,362,10,3,11,"A standalone Blockly programming application, integrated with ROS.",https://github.com/hcrlab/code_it,Ivano,1,NO,E8,,,,,,,,,,
HebiRobotics/HEBI-ROS,github,master,47,0,C++,34,21,13,92,3,89,129,15,4,10,HEBI ROS Examples/API/etc.,https://github.com/HebiRobotics/HEBI-ROS,Ivano,1,NO,E4,,,,,,,,,,
HJReachability/fastrack,github,master,15,0,C++,4,0,4,4,1,3,272,6,2,6,A ROS implementation of Fast and Safe Tracking (FaSTrack).,https://github.com/HJReachability/fastrack,Ivano,1,YES,,SUBSYSTEM,Aerial,,,Planning,,,NO,,
hrnr/m-explore,github,master,7,0,C++,29,3,26,0,0,0,237,6,5,4,ROS packages for multi robot exploration,https://github.com/hrnr/m-explore,Ivano,1,YES,,SUBSYSTEM,Ground,,,Mapping,Navigation,,YES,http://wiki.ros.org/explore_lite and http://wiki.ros.org/multirobot_map_merge,
hrnr/robo-rescue,github,master,7,0,C++,1,0,1,36,0,36,154,8,0,2,ROS nodes for rescue robots,https://github.com/hrnr/robo-rescue,Ivano,1,YES,,FULL_SYSTEM,Ground,,,FULL,,,YES,https://github.com/hrnr/robo-rescue,
husky/husky,github,kinetic-devel,24,0,C++,55,13,42,56,1,55,427,15,26,27,Common packages for the Clearpath Husky,https://github.com/husky/husky,Ivano,1,YES,,FULL_SYSTEM,Ground,,,FULL,,,PARTIALLY,http://wiki.ros.org/Robots/Husky,
husky/husky_robot,github,indigo-devel,7,0,C++,2,1,1,10,0,10,303,12,24,19,Robot (Hardware) packages for the Clearpath Husky,https://github.com/husky/husky_robot,Ivano,1,YES,,SUBSYSTEM,Ground,,,Control,Base,,NO,,
IFL-CAMP/iiwa_stack,github,master,33,0,C++,118,29,89,60,0,60,525,9,4,19,ROS integration for the KUKA LBR IIWA R800/R820 (7/14 Kg).,https://github.com/IFL-CAMP/iiwa_stack,Ivano,1,YES,,FULL_SYSTEM,Manu,,,FULL,,,PARTIALLY,https://github.com/IFL-CAMP/iiwa_stack/wiki,
IGVC-IITK/computer_vision,github,devel,10,0,C++,1,1,0,2,0,2,122,5,0,10,ROS nodes for robust lane detection on grass and automatic inverse perspective transformation,https://github.com/IGVC-IITK/computer_vision,Ivano,1,YES,,SUBSYSTEM,GEN,,,Vision,,,YES,https://github.com/IGVC-IITK/computer_vision,
iirob/ati_force_torque,github,kinetic-devel,8,0,C++,5,3,2,16,2,14,101,5,0,8,Repositry is not used and it is moved to: KITrobotics/ati_force_torque,https://github.com/iirob/ati_force_torque,Ivano,1,NO,E3,,,,,,,,,,
iirob/ros_opcua_communication,github,kinetic-devel,2,0,Python,6,1,5,11,3,8,118,4,0,6,,https://github.com/iirob/ros_opcua_communication,Ivano,1,YES,,SUBSYSTEM,GEN,,,Integration,,,PARTIALLY,https://github.com/iirob/ros_opcua_communication/blob/kinetic-devel/ros_opcua_impl_freeopcua/README.md,
iitbmartian/GUI,github,master,4,0,Python,2,0,2,0,0,0,103,5,0,12,"GUI for controlling various subsystems of the Mars Rover Project, IIT-Bombay.",https://github.com/iitbmartian/GUI,Ivano,1,NO,E2,,,,,,,,,,
ildoonet/tf-pose-estimation,github,master,1,0,Python,447,203,244,26,6,20,211,5,0,17,Deep Pose Estimation implemented using Tensorflow with Custom Architectures for fast inference.,https://github.com/ildoonet/tf-pose-estimation,Ivano,1,YES,,SUBSYSTEM,GEN,,,Vision,,,NO,,
informatik-mannheim/akrobat,github,indigo-stable,28,0,C++,0,0,0,9,0,9,146,5,0,3,Control and visualization of a six-legged walking robot based on ROS.,https://github.com/informatik-mannheim/akrobat,Ivano,1,YES,,FULL_SYSTEM,Ground,,,FULL,,,NO,,
inomuh/evapc_ros,github,indigo-devel,28,0,CMake,4,2,2,0,0,0,155,5,5,3,pc libraries of evarobot,https://github.com/inomuh/evapc_ros,Ivano,1,YES,,SUBSYSTEM,Ground,,,Navigation,Slam,DevSupport,YES,http://wiki.ros.org/Robots/evarobot,
inomuh/evapi_ros,github,85rpm,19,0,C++,3,3,0,0,0,0,105,7,58,1,ros libraries for electronic control unit of evarobot,https://github.com/inomuh/evapi_ros,Ivano,1,YES,,SUBSYSTEM,Ground,,,Control,Sensing,,YES,http://wiki.ros.org/Robots/evarobot,
intel-ros/realsense,github,development,17,0,C++,0,0,0,0,0,0,682,7,38,59,Intel(R) RealSense(TM) ROS Wrapper for D400 series and SR300 Camera,https://github.com/intel-ros/realsense,Ivano,1,NO,E7,,,,,,,,,,
intel/ros2_object_analytics,github,master,0,1,C++,11,3,8,79,0,79,158,3,8,12,,https://github.com/intel/ros2_object_analytics,Ivano,1,YES,,SUBSYSTEM,GEN,,,Vision,,,YES,https://github.com/intel/ros2_object_analytics,
internationalauto/auto_guidance,bitbucket,master,1,0,python,0,0,0,0,0,0,219,9,NA,12,ROS package for guidance system,https://bitbucket.org/internationalauto/auto_guidance,Ivano,1,YES,,SUBSYSTEM,Ground,,,Navigation,,,NO,,
introlab/find-object,github,master,5,0,C++,88,45,43,3,0,3,305,7,6,4,Find-Object project,https://github.com/introlab/find-object,Ivano,1,NO,E8,,,,,,,,,,
introlab/rtabmap_ros,github,master,55,0,C++,301,97,204,14,0,14,1024,9,57,13,RTAB-Map's ROS package.,https://github.com/introlab/rtabmap_ros,Ivano,1,YES,,SUBSYSTEM,Ground,,,Slam,,,YES,http://wiki.ros.org/rtabmap_ros#Nodes,
ipa320/airbus_coop,github,indigo-devel,8,0,HTML,11,3,8,34,1,33,235,4,4,5,,https://github.com/ipa320/airbus_coop,Ivano,1,NO,E8,,,,,,,,,,
ipa320/bride,github,develop,5,0,Java,72,19,53,34,0,34,459,16,6,10,BRIDE IDE for ROS development,https://github.com/ipa320/bride,Ivano,1,NO,E8,,,,,,,,,,
ipa320/cob_android,github,indigo_dev,3,0,Python,7,2,5,29,1,28,119,7,5,16,,https://github.com/ipa320/cob_android,Ivano,1,NO,E8,,,,,,,,,,
ipa320/cob_command_tools,github,indigo_dev,6,0,Python,32,8,24,215,2,213,1995,16,26,91,,https://github.com/ipa320/cob_command_tools,Ivano,1,YES,,SUBSYSTEM,Service,,,Integration,DevSupport,,PARTIALLY,https://can-newsletter.org/uploads/media/raw/fa0136c44242f5e4befa4594b97bf8cb.pdf,
ipa320/cob_control,github,kinetic_dev,5,0,C++,51,24,27,157,2,155,1374,7,26,48,The cob_control stack includes packages that are used to do low level control tasks with Care-O-bot hardware over ROS.,https://github.com/ipa320/cob_control,Ivano,1,YES,,SUBSYSTEM,Service,,,Control,,,PARTIALLY,https://can-newsletter.org/uploads/media/raw/fa0136c44242f5e4befa4594b97bf8cb.pdf,
ipa320/cob_driver,github,indigo_dev,4,0,C++,55,13,42,338,6,332,3191,18,46,117,"The cob_driver stack includes packages that provide access to the Care-O-bot hardware over ROS messages and services. E.g. for mobile base, arm, camera_sensors, scanners, etc...",https://github.com/ipa320/cob_driver,Ivano,1,NO,E7,,,,,,,,,,
ipa320/cob_environment_perception,github,indigo_dev,58,0,C++,7,3,4,44,1,43,5022,10,3,47,,https://github.com/ipa320/cob_environment_perception,Ivano,1,YES,,SUBSYSTEM,Service,,,Sensing,,,PARTIALLY,https://can-newsletter.org/uploads/media/raw/fa0136c44242f5e4befa4594b97bf8cb.pdf,
ipa320/cob_environments,github,indigo_dev,2,0,CMake,3,0,3,130,0,130,656,15,21,36,,https://github.com/ipa320/cob_environments,Ivano,1,NO,E2,,,,,,,,,,
ipa320/cob_manipulation,github,kinetic_dev,24,0,C++,20,12,8,117,1,116,1439,16,17,40,,https://github.com/ipa320/cob_manipulation,Ivano,1,YES,,SUBSYSTEM,Service,,,Control,,,PARTIALLY,https://can-newsletter.org/uploads/media/raw/fa0136c44242f5e4befa4594b97bf8cb.pdf,
ipa320/cob_navigation,github,indigo_dev,27,0,C++,11,2,9,94,2,92,1473,14,19,84,Care-O-bot navigation packages,https://github.com/ipa320/cob_navigation,Ivano,1,YES,,SUBSYSTEM,Service,,,Navigation,,,PARTIALLY,https://can-newsletter.org/uploads/media/raw/fa0136c44242f5e4befa4594b97bf8cb.pdf,
ipa320/cob_perception_common,github,indigo_dev,5,0,C++,11,1,10,83,1,82,435,14,21,39,,https://github.com/ipa320/cob_perception_common,Ivano,1,YES,,SUBSYSTEM,Service,,,Sensing,,,PARTIALLY,https://can-newsletter.org/uploads/media/raw/fa0136c44242f5e4befa4594b97bf8cb.pdf,
ipa320/cob_robots,github,indigo_dev,156,0,Python,59,3,56,719,8,711,4056,15,29,121,,https://github.com/ipa320/cob_robots,Ivano,1,YES,,SUBSYSTEM,Service,,,Base,,,PARTIALLY,https://can-newsletter.org/uploads/media/raw/fa0136c44242f5e4befa4594b97bf8cb.pdf,
ipa320/schunk_modular_robotics,github,indigo_dev,1,0,C++,30,7,23,182,3,179,1428,16,32,82,,https://github.com/ipa320/schunk_modular_robotics,Ivano,1,NO,E7,,,,,,,,,,
ipa320/schunk_robots,github,indigo_dev,52,0,Python,20,6,14,72,1,71,409,11,3,24,,https://github.com/ipa320/schunk_robots,Ivano,1,YES,,SUBSYSTEM,Manu,,,Base,,,NO,,
ipa320/softkinetic,github,indigo_dev,5,0,C++,24,12,12,47,3,44,180,8,2,26,This repository holds a ROS driver package for an interactive gesture camera (softkinetic).,https://github.com/ipa320/softkinetic,Ivano,1,NO,E7,,,,,,,,,,
ipa320/srs_public,github,master,264,0,C++,0,0,0,121,0,121,1709,2,0,40,,https://github.com/ipa320/srs_public,Ivano,1,YES,,FULL_SYSTEM,Service,,,FULL,,,PARTIALLY,http://srs-project.eu/sites/default/files/SRS_247772_D1.3A_SRS%20System%20Specification.pdf,
ipab-slmc/exotica,github,master,38,0,C++,200,49,151,390,1,389,2178,10,5,24,Extensible Optimization Framework,https://github.com/ipab-slmc/exotica,Ivano,1,YES,,SUBSYSTEM,Manu,,,Planning,Control,,PARTIALLY,https://vladimirivan.files.wordpress.com/2018/03/exoticarosbook.pdf https://ipab-slmc.github.io/exotica/overview.html,
iras-ind/coe_driver,bitbucket,master,2,0,c++,0,0,0,1,1,0,115,3,NA,6,The project refers to all the ros modules developed in order to implement the CanOverEthercat communication,https://bitbucket.org/iras-ind/coe_driver,Ivano,1,NO,E7,,,,,,,,,,Driver for CAN-based communication
irvs/ros_tms,github,develop,183,0,C++,195,2,193,358,0,358,1609,16,6,27,"It is a service robot system with an informationally structured environment referred to the ROS-TMS. This system enables the integration of various data from distributed sensors, as well as storage of these data in an on-line database and the planning of the service motion of a robot using real-time information about the surroundings. If we want use ROS-TMS, please check the releases information. https://github.com/irvs/ros_tms/releases",https://github.com/irvs/ros_tms,Ivano,1,YES,,FULL_SYSTEM,Service,,,FULL,,,PARTIALLY,http://irvs.github.io/ros_tms/,
iscumd/Yeti2018,github,master,7,0,C++,30,26,4,26,0,26,104,3,0,8,Make Yeti Great Again,https://github.com/iscumd/Yeti2018,Ivano,2,YES,,FULL_SYSTEM,Ground,,,FULL,,,NO,,
