ID,Repo ID,Practices,Notes,Guidelines 1,Guidelines 2,Guidelines 3,Guidelines 4
97,ros-controls/ros_control,"The backbone of the framework is the Hardware Abstraction Layer, which serves as a bridge to different simulated and real robots. This abstraction is provided by the hardware_interface::RobotHW class; specific robot implementations have to inherit from this class. Instances of this class model hardware resources provided by the robot such as electric and hydraulic actuators and low-level sensors such as encoders and force/torque sensors. It also allows for integrating heterogeneous hardware or swapping out components transparently whether it is a real or simulated robot. [....] Through these typed interfaces this abstraction enables easy introspection, increased maintainability and controllers to be hardware-agnostic.",,G2,G16,,
98,ros-controls/ros_control,"The lifecycle of controllers is not static. It can be queried and modified at runtime through standard ROS services provided by the controller_manager. Such services allow to start, stop and configure controllers at runtime.","If we start finding a standard for nodes lifecycle, then we gain in terms of configurability, adaptability",G30,,,
99,ros-perception/opencv_apps,"With opencv_apps, you can run a lot of functionalities OpenCV provides in the simplest manner in ROS, i.e., running a launch file that corresponds to the functionality.","Generic package, the specific nodes to be run are declared in the launch file",G3,,,
100,ros-planning/navigation,"One costmap is used for global planning, meaning creating long-term plans over the entire environment, and the other is used for local planning and obstacle avoidance.",,G7,,,
101,ros-planning/navigation2,The reason for the change was to make it so that global and local planners would be Action Servers and could be replaced at launch or run time with other implementations providing the same Action.,,G4,G17,,
102,ros-planning/navigation2,All these changes make it possible to replace any of these nodes at launch/run time with any other algorithm that implements that same interface.,,G4,G17,,
103,ros-planning/navigation2,"In contrast to the ROS1 navigation map server, the nav2 map server will support a variety of map types, and thus some aspects of the original code have been refactored to support this new extensible framework. In particular, there is now a MapLoader abstract base class and type-specific map loaders which derive from this class. There is currently one such derived class, the OccGridLoader, which converts an input image to an OccupancyGrid and makes this available via topic and service interfaces. The MapServer class is a ROS2 node that uses the appropriate loader, based on an input parameter.",,G4,G3,,
104,ros-planning/navigation2,"Critics like to give things scores. Once we know we're not at the goal and have a bunch of candidate trajectories, we evaluate them based on a collections of TrajectoryCritics. Here's the life-cycle.",,G30,,,
105,ROS-PSE/arni,"Advanced ROS Network Introspection (ARNI) extends the /statistics features introduced with Indigo and completes the collected data with measurements about the hosts and nodes participating in the network. These are gathered from an extra node that has to run on each host machine. All statistics or metadata can be compared against a set of reference values using the monitoring_node. The rated statistics allow to run optional countermeasures when a deviation from the reference is detected, in order to remedy the fault or at least bring the system in a safe state.",,G25,G19,,
106,ros/actionlib,"The action client and server communicate with each other using a predefined action protocol. This action protocol relies on ROS topics in a specified ROS namespace in order to transport messages. In some cases, however, if the service takes a long time to execute, the user might want the ability to cancel the request during execution or get periodic feedback about how the request is progressing. The actionlib package provides tools to create servers that execute long-running goals that can be preempted. It also provides a client interface in order to send requests to the server.",Specify the protocol of the messages you expect,G31,,,
107,ros/geometry2,"A distributed system
Value: No bottleneck process and all processes are one step away for minimal latency.

Implementation: Everything is broadcast and reassembled at end consumer points. There can be multiple data sources for tf information. Data is not required to be synchronized by using interpolation. Data can arrive out of order.",,G5,G32,G23,
108,ros/geometry2,"Only transform data between coordinate frames at the time of use
Value: Efficiency, both computational, bandwidth, and simplicity.",,G33,,,
109,ros/geometry2,"Support queries on data which are timestamped at times other than the current time
Value: Handle data processing lag gracefully.

Implementation: Interface class stores all transform data in memory and traverses tree on request.",,G6,G20,,
110,ros/geometry2,"Only have to know the name of the coordinate frame to work with data
Value: Ease of use for users/developers.

Implementation: Use string frame_ids as unique identifiers.",,G34,,,
111,ros/geometry2,"The system doesn't need to know about the configuration before hand and can handle reconfiguring on the fly
Value: Generic system for any configuration.

Implementation: Use directed tree structure. It allows fast traversal(order n where n is the depth of the tree) when evaluating a transform. It can be reconfigured simply by redefining a link. It does not require any structure verification or maintenance of the data structure, except for maintaining a sorted linked list of data for each link.",,G9,,,
112,ros/geometry2,"Core is ROS agnostic
Value: Code reuse.

Implementation: Core library is C++ class. A second class provides ROS interface and instantiates the core library.",,G35,,,
113,ros/geometry2,"Thread Safe Interface
Values: Can be used in a multithreaded program.

Implementation: Mutexes around data storage for each frame. Mutexes around frame_id lookup map. Each are individually locked and unlocked, neither can block the other.",,G36,,,
114,ros/geometry2,"Multi-Robot Support
Values: Can be used with multiple robots with the same or similar configuration.

Implementation: Use a tf_prefix similar to a namespace for each robot.",,G34,,,
115,ros/geometry2,"Native Datatype Interfaces
Value: Users can interact with tf2_ros in their native datatypes, the conversion is handled implicitly by the library.

Implementation: There is a tf2::convert(A, B) templated method that converts from type A to type B using the geometry_msg types as the common factor.

And as long as any datatype provides the methods msgType toMsg(datatype) and fromMsg(msgType, datatype) it can be automatically converted to any other datatype with the same methods defined and a matching msgType.

All tf2_ros interfaces can then be called with native type in and native type out. Note, the native type in and out do not need to match.",,G17,,,
116,ros/geometry2,"tf messages do not deal with low bandwidth networks well
Within a single well connected network tf works fine, but as you transition to wireless and lossy networks with low bandwidth the tf messages start to take up a large fraction of the available bandwidth. This is partially due to the many to many nature and partially due to the fact that there is no way to choose the desired data rate for each consumer.
Solution: Add support for /tf_static topic which will only publish latched topics.",,G19,,,
117,ros/geometry2,"tf doesn't keep a long history
The default timescale for storage is 10 seconds which is fine for live operations, but storing anything longer than that requires storing the data in a known fixed frame such that it will be transformable later.
Solution: A long history can be kept in a specialized node and queried remotely.",,G37,,,
118,rosflight/rosflight,Sensor stream topics are only advertised if they are being transmitted by the autopilot.,,NO_GUIDANCE,,,
119,RoverRobotics/rr_openrover_basic,This means that if the robot gets unplugged and replugged in this value may change. It is recommended to setup a udev rule for the robot that will always name it something like /dev/rover and to set this parameter to the same thing so that if it gets unplugged and replugged in things will work still.,Use logical names,G34,,,
120,RoverRobotics/rr_openrover_basic,If enabled this driver will stop the robot if nothing new is published to cmd_vel/managed in the timeout window. Its highly recommended that this be set to true.,,G30,,,
121,spencer-project/spencer_people_tracking,Well-structured ROS message types and clearly defined interfaces make it easy to integrate custom detection and tracking components.,,G30,G31,G17,
122,spencer-project/spencer_people_tracking,"We highly encourage reuse of these messages to benefit from our rich infrastructure of detection, tracking, filtering and visualization components! Existing detection and tracking algorithms can often easily be integrated by publishing additional messages in our format, or by writing a simple C++ or Python node that converts between message formats.",,G17,G5,,
123,Tabjones/pacman_vision,"Finally the Gui provides two button Master Disable and Master Reset:
- Master disable lets you pause all the functionality of the node, including modules, stopping cloud stream processing and consequently lowering cpu usage to near zero. The node however will remain registered on ROS network, so that, when you re-enable it again all the functionalities will resume as if nothing happened.
- Master reset lets you reset the node completely, killing all the modules and reloading the last loaded configuration.",,G15,,,
124,team-vigir/flexbe_behavior_engine,Provides a communication channel between the onboard behavior executive and any custom user interface for providing data during runtime.,,G1,,,
125,team-vigir/flexbe_behavior_engine,It is recommended to bundle all custom nodes and configuration files for behavior execution in launch files if things get more complex.,,G39,,,
126,team-vigir/flexbe_behavior_engine,Each behavior is generated as an own ROS package.,,G18,,,
127,team-vigir/flexbe_behavior_engine,"In the Configuration view of the user interface, you can set a namespace for your behaviors if required.",,G34,,,
128,team-vigir/vigir_footstep_planning_core,"The footstep planning system is designed to be easily adaptable to the target robot system. For this purpose the entire footstep planning pipeline has been ""pluginized"", thus the system can be easily modified by adding or replacing plugins in the pipeline. This allows for adaptive code execution even during runtime which is superior to classic parameter-based systems. Although plugins can provide new code for the pipeline, already existing code is kept untouched which simplifies code maintenance and improves code stability. In order to achieve this kind of versatile code management, the vigir_pluginlib has been developed.",Plugins,G4,,,
129,team-vigir/vigir_footstep_planning_core,"The vigir_pluginlib uses the C++ RTTI mechanism to determine the functionality of each instantiated plugin based on implemented parent classes. This information helps the plugin manager to resolve any kind of plugin request done by the application during runtime and allows to manage a heterogeneous plugin database. For clarification, heterogeneous denotes indeed that you can load plugins of different type in one single manager and therefore have convenient centralized access to all your plugins no matter which interface they actually implement. If you need a plugin implementing a specific interface, then the plugin manager tries best effort to deliver them. Polymorphic plugins are indeed allowed, thus a single plugin may implement the interfaces of multiple interface plugins and still will be retrieved correctly.

Furthermore the plugin manager comes with full service and action interfaces, thus the plugin composition used by your application can be remotely reconfigured during runtime using the provided rqt widget or external nodes.",Plugins,G4,,,
130,team-vigir/vigir_footstep_planning_core,A Plugin Aggregator is a collector for a set of plugins implementing a specified interface and simplifies handling of such sets. It obtains automatically all plugins from the plugin manager and provides the option to update parameters of those plugins,Plugins,G4,,,
131,team-vigir/vigir_footstep_planning_core,The vigir generic params solves the conflicting issue of having a fixed ROS message structure at build time and the varying content of parameter sets due to individual compositions of plugins during run time. It is designed as substitution for the classical ROS Parameter Server while using the same YAML syntax for configuration files and providing the same interfaces for accessing parameters. This design consideration makes it very convenient to use for ROSfamiliar developers. The vigir generic params implements additional features such as a flexible structure for parameter sets that can be shared via ROS messages and a parameter set management to allow quick software reconfiguration by just providing multiple configuration files. In addition a generic graphical user interface allows modifying those parameter sets online.,more details here: https://www.sim.informatik.tu-darmstadt.de/publ/download/2016_Stumpf_footstep_planning_framework_Humanoids.pdf,G3,G4,,
132,team-vigir/vigir_footstep_planning_core,"The parameter and plugin system delivers the adaptability needed to cope with different humanoid systems and therefore form the basic infrastructure of the proposed footstep planning framework. In order to apply the plugin system, the footstep planner pipeline has been investigated for injection points where a user might want to affect the behavior of the planner. For each such injection point, a plugin type has been defined",more details here: https://www.sim.informatik.tu-darmstadt.de/publ/download/2016_Stumpf_footstep_planning_framework_Humanoids.pdf,G4,,,
133,team-vigir/vigir_footstep_planning_core,"Furthermore plugins do not live in isolation, which should be taken into account because they can also access and use each other as well. The most common case is the StepPlanMsgPlugin that allows custom plugins to access robot specific variables encoded into the step plan.",more details here: https://www.sim.informatik.tu-darmstadt.de/publ/download/2016_Stumpf_footstep_planning_framework_Humanoids.pdf,G4,,,
134,team-vigir/vigir_footstep_planning_core,"One of our main goals is keeping the overhead of the plugin system low in order to maintain high planning efficiency. It is clearly inefficient to request needed plugins from the manager for each single iteration during planning. For this reason, the planner retrieves all plugins once at the beginning of each planning request and initializes them with the given parameters for this request.",more details here: https://www.sim.informatik.tu-darmstadt.de/publ/download/2016_Stumpf_footstep_planning_framework_Humanoids.pdf,G4,G8,,
135,tue-robotics/ed,"ED is one re-usable environment description that can be used for a multitude of needed functionalities. Instead of having different environment representations for localization, navigation, manipulation, interaction, etc, you now only need one. An improvement in this single, central world model will reflect in the performances of the separate robot capabilities.",,G7,,,
136,tue-robotics/ed,"ED has a plugin system. In itself, ED is 'just' a data structure containing a world representation. Functionality is added through plugins, which run concurrently and query and update the world model in a thread-safe manner. This makes the system easily extendable.",,G4,,,
137,tue-robotics/ed,"ED's default localization module consists of a fast particle filter implementation and sensor models which always take into account the most recent state of the world. This means that if the world representation improves while the robot is running, localization becomes better. The localization module is more efficient and accurate than the well-known AMCL-module and no separate occupancy grid is needed.",,G9,,,
138,tue-robotics/ed,"ED can be visualized using a web-based GUI. This enables users to monitor the state of the world using a large variety of systems, including PC's, smart phones and tablets.",,G1,,,
139,udg_cirs/cola2_core,There is a package in charge of the vehicle's safety: cola2_safety. It contains several safety controllers and also checks some important values inside the architecture. If some of these values are not inside a user predefined threshold the vehicle can abort a mission and/or surface the vehicle automatically. All the parameters used by these nodes are defined in the file:,Safety,G3,G5,,
140,udg_cirs/cola2_core,"""Some important safety parameters like battery level, navigation sensors status, communications etc. are checked using the following schema:

- A diagnostic message is generated containing some relevant information (e.g. battery level, time since last sensor update, water inside...).
- All these diagnostic messages are combined using the diagnostic aggregator node.
- The diagnostics aggregated message can be visualized by the rqt_robot_monitor or by the COLA2 web interface (see basic usage).
- Additionally to visualize this aggregated diagnostics message, it is possible to enable the diagnostics_supervisor node that receives this message and applies a set of rules that depend on some values predefined by the user in the cola2_(s2/g500)/config/safety.yaml file.
- If any of the rules checked by the diagnostics_supervisor is true, then it calls a recovery action.
- Recovery actions are defined as ROS services and are implemented in the recovery_actions node (see below).""

The diagnostic messages that contain these relevant information can be published by the drivers itself (e.g. the battery driver publishes the battery level), by a third node that uses this information (e.g. the navigator node publishes the last time that a navigation sensor has generated a data package), or by a specific node (e.g. the virtual_cage node generates a diagnostic message indicating if the vehicle is inside or outside a 2D virtual cage defined by a NED origin and a longitude for north and east axis).",Safety,G23,G26,G28,
141,udg_cirs/cola2_core,"Several recovery actions are implemented as ROS services in the recovery_actions node. They can be called using this syntax:

rosservice call cola2_safety/recovery_action *error_level*
Where error_level can be:

INFORMATIVE: Inform that an error is produced
ABORT_MISSION: INFORMATIVE + aborts a goto, submerge, enable_trajectory or keep position service
ABORT_AND_SURFACE: ABORT_MISSION + brings the vehicle to a safety depth
EMERGENCY_SURFACE: ABORT_MISSION + without using the navigation or the control stack sends a setpoint directly to the thrusters to make the vehicle surface.",Safety,G23,,,
142,xuefengchang/micros_swarm_framework,"In order to make it modular and extensible, we chose to decompose the framework into a layered structure, as shown in Fig. 1. The Communication Interface layer is to implement an abstraction of the underlying communication mechanisms, and provides a set of unified interface to layer above. At the core of the framework is a runtime platform, based on which APIs including abstract data structures, such as Swarm, Neighbor, and Virtual Stigmergy, are provided to the user. Upon this core part, we are also trying to build a library of typical swarm algorithms to further facilitate the application development.",,G4,G38,,
143,,,,,,,
144,,,,,,,
145,,,,,,,
146,,,,,,,
147,,,,,,,
148,,,,,,,
149,,,,,,,
150,,,,,,,
151,,,,,,,
152,,,,,,,
153,,,,,,,
154,,,,,,,
155,,,,,,,
156,,,,,,,
157,,,,,,,
158,,,,,,,
159,,,,,,,
160,,,,,,,
161,,,,,,,
162,,,,,,,
163,,,,,,,
164,,,,,,,
165,,,,,,,
166,,,,,,,
167,,,,,,,
168,,,,,,,
169,,,,,,,
170,,,,,,,
171,,,,,,,
172,,,,,,,
173,,,,,,,
174,,,,,,,
175,,,,,,,
176,,,,,,,
177,,,,,,,
178,,,,,,,
179,,,,,,,
180,,,,,,,
181,,,,,,,
182,,,,,,,
183,,,,,,,
184,,,,,,,
185,,,,,,,
186,,,,,,,
187,,,,,,,
188,,,,,,,
189,,,,,,,
190,,,,,,,
191,,,,,,,
192,,,,,,,
193,,,,,,,
194,,,,,,,
195,,,,,,,
196,,,,,,,
197,,,,,,,
198,,,,,,,
199,,,,,,,
200,,,,,,,
201,,,,,,,
202,,,,,,,
203,,,,,,,
204,,,,,,,
205,,,,,,,
206,,,,,,,
207,,,,,,,
208,,,,,,,
209,,,,,,,
210,,,,,,,
211,,,,,,,
212,,,,,,,
213,,,,,,,
214,,,,,,,
215,,,,,,,
216,,,,,,,
217,,,,,,,
218,,,,,,,
219,,,,,,,
220,,,,,,,
221,,,,,,,
222,,,,,,,
223,,,,,,,
224,,,,,,,
225,,,,,,,
226,,,,,,,
227,,,,,,,
228,,,,,,,
229,,,,,,,
230,,,,,,,
231,,,,,,,
232,,,,,,,
233,,,,,,,
234,,,,,,,
235,,,,,,,
236,,,,,,,
237,,,,,,,
238,,,,,,,
239,,,,,,,
240,,,,,,,
241,,,,,,,
242,,,,,,,
243,,,,,,,
244,,,,,,,
245,,,,,,,
246,,,,,,,
247,,,,,,,
248,,,,,,,
249,,,,,,,
250,,,,,,,
251,,,,,,,
252,,,,,,,
253,,,,,,,
254,,,,,,,
255,,,,,,,
256,,,,,,,
257,,,,,,,
258,,,,,,,
259,,,,,,,
260,,,,,,,
261,,,,,,,
262,,,,,,,
263,,,,,,,
264,,,,,,,
265,,,,,,,
266,,,,,,,
267,,,,,,,
268,,,,,,,
269,,,,,,,
270,,,,,,,
271,,,,,,,
272,,,,,,,
273,,,,,,,
274,,,,,,,
275,,,,,,,
276,,,,,,,
277,,,,,,,
278,,,,,,,
279,,,,,,,
280,,,,,,,
281,,,,,,,
282,,,,,,,
283,,,,,,,
284,,,,,,,
285,,,,,,,
286,,,,,,,
287,,,,,,,
288,,,,,,,
289,,,,,,,
290,,,,,,,
291,,,,,,,
292,,,,,,,
293,,,,,,,
294,,,,,,,
295,,,,,,,
296,,,,,,,
297,,,,,,,
298,,,,,,,
299,,,,,,,
300,,,,,,,
301,,,,,,,
302,,,,,,,
303,,,,,,,
304,,,,,,,
305,,,,,,,
306,,,,,,,
